StartDate,EndDate,relationship_status,relationship_length,sleeping_alone_frequency,"When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,income,Education,Location (Census Region)
7/9/14 22:20,7/9/14 22:23,Married,16-20 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,We have different temperature preferences for the room,We've had an argument or fight,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly agree,Neither agree nor disagree,Somewhat disagree,Other (please specify),All of the above: Homemaker,Male,30-44,"$150,000.00",Some college or Associate degree,Pacific
7/9/14 22:19,7/9/14 22:20,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,18-29,,Bachelor degree,Middle Atlantic
7/9/14 22:16,7/9/14 22:17,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain
7/9/14 22:11,7/9/14 22:12,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
7/9/14 22:11,7/9/14 22:12,Widowed,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Farming, Fishing, and Forestry Occupations",,,,,,
7/9/14 22:10,7/9/14 22:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Support Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
7/9/14 22:09,7/9/14 22:11,Married,6-10 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,30-44,,Some college or Associate degree,Mountain
7/9/14 22:07,7/9/14 22:10,"Single, but cohabiting with a significant other",Less than 1 year,Every night,"Shared bedroom, different bed",,"Shared bedroom, different bed",,One of us snores,,,,,,Not enough space,,,,,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,18-29,,High school degree,East North Central
7/9/14 22:07,7/9/14 22:08,Married,6-10 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Male,30-44,"$150,000.00",Graduate degree,Pacific
7/9/14 22:06,7/9/14 22:07,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,18-29,"$50,000 - $99,999",Bachelor degree,East South Central
7/9/14 22:01,7/9/14 22:04,Married,6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 22:01,7/9/14 22:03,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central
